VTX, IDX, inPosition.x, inPosition.y, inPosition.z, inColor.x, inColor.y, inColor.z, inColor.w
7354, 7354, 130.76515, 64.48495, 50.08721, 50.08721, 0.00, 1.00, 1.00
7355, 7355, 130.30034, 64.48495, 49.42398, 49.42398, 0.00, 1.00, 1.00
7356, 7356, 130.30034, 64.48495, 49.42398, 49.42398, 0.00, 1.00, 1.00
7357, 7357, 131.03084, 64.48495, 48.91203, 48.91203, 0.00, 1.00, 1.00
7358, 7358, 131.03084, 64.48495, 48.91203, 48.91203, 0.00, 1.00, 1.00
7359, 7359, 131.49565, 64.48495, 49.57526, 49.57526, 0.00, 1.00, 1.00
7360, 7360, 131.49565, 64.6489, 49.57526, 49.57526, 0.00, 1.00, 1.00
7361, 7361, 131.49565, 64.48495, 49.57526, 49.57526, 0.00, 1.00, 1.00
7362, 7362, 130.76515, 64.6489, 50.08721, 50.08721, 0.00, 1.00, 1.00
7363, 7363, 130.76515, 64.48495, 50.08721, 50.08721, 0.00, 1.00, 1.00
7364, 7364, 130.30034, 64.6489, 49.42398, 49.42398, 0.00, 1.00, 1.00
7365, 7365, 130.30034, 64.48495, 49.42398, 49.42398, 0.00, 1.00, 1.00
7366, 7366, 131.03084, 64.6489, 48.91203, 48.91203, 0.00, 1.00, 1.00
7367, 7367, 131.03084, 64.48495, 48.91203, 48.91203, 0.00, 1.00, 1.00
7368, 7368, 247.08739, -1094.23035, 1304.38025, 1304.38025, 0.00, 1.00, 1.00
7369, 7369, 246.30736, -1094.23035, 1304.81311, 1304.81311, 0.00, 1.00, 1.00
7370, 7370, 246.30736, -1094.23035, 1304.81311, 1304.81311, 0.00, 1.00, 1.00
7371, 7371, 245.91441, -1094.23035, 1304.10486, 1304.10486, 0.00, 1.00, 1.00
7372, 7372, 245.91441, -1094.23035, 1304.10486, 1304.10486, 0.00, 1.00, 1.00
7373, 7373, 246.69444, -1094.23035, 1303.672, 1303.672, 0.00, 1.00, 1.00
7374, 7374, 246.69444, -1094.23035, 1303.672, 1303.672, 0.00, 1.00, 1.00
7375, 7375, 247.08739, -1094.23035, 1304.38025, 1304.38025, 0.00, 1.00, 1.00
7376, 7376, 247.08739, -1094.39417, 1304.38025, 1304.38025, 0.00, 1.00, 1.00
7377, 7377, 246.30736, -1094.39417, 1304.81311, 1304.81311, 0.00, 1.00, 1.00
7378, 7378, 246.30736, -1094.39417, 1304.81311, 1304.81311, 0.00, 1.00, 1.00
7379, 7379, 245.91441, -1094.39417, 1304.10486, 1304.10486, 0.00, 1.00, 1.00
7380, 7380, 245.91441, -1094.39417, 1304.10486, 1304.10486, 0.00, 1.00, 1.00
7381, 7381, 246.69444, -1094.39417, 1303.672, 1303.672, 0.00, 1.00, 1.00
7382, 7382, 246.69444, -1094.39417, 1303.672, 1303.672, 0.00, 1.00, 1.00
7383, 7383, 247.08739, -1094.39417, 1304.38025, 1304.38025, 0.00, 1.00, 1.00
7384, 7384, 247.08739, -1094.23035, 1304.38025, 1304.38025, 0.00, 1.00, 1.00
7385, 7385, 247.08739, -1094.39417, 1304.38025, 1304.38025, 0.00, 1.00, 1.00
7386, 7386, 246.30736, -1094.23035, 1304.81311, 1304.81311, 0.00, 1.00, 1.00
7387, 7387, 246.30736, -1094.39417, 1304.81311, 1304.81311, 0.00, 1.00, 1.00
7388, 7388, 245.91441, -1094.23035, 1304.10486, 1304.10486, 0.00, 1.00, 1.00
7389, 7389, 245.91441, -1094.39417, 1304.10486, 1304.10486, 0.00, 1.00, 1.00
7390, 7390, 246.69444, -1094.23035, 1303.672, 1303.672, 0.00, 1.00, 1.00
7391, 7391, 246.69444, -1094.39417, 1303.672, 1303.672, 0.00, 1.00, 1.00
7392, 7392, 168.40848, 51.16062, 9.80715, 9.80715, 0.00, 1.00, 1.00
7393, 7393, 168.01776, 51.16062, 10.60907, 10.60907, 0.00, 1.00, 1.00
7394, 7394, 168.01776, 51.16062, 10.60907, 10.60907, 0.00, 1.00, 1.00
7395, 7395, 167.28967, 51.16062, 10.25434, 10.25434, 0.00, 1.00, 1.00
7396, 7396, 167.28967, 51.16062, 10.25434, 10.25434, 0.00, 1.00, 1.00
7397, 7397, 167.68039, 51.16062, 9.45241, 9.45241, 0.00, 1.00, 1.00
7398, 7398, 167.68039, 51.16062, 9.45241, 9.45241, 0.00, 1.00, 1.00
7399, 7399, 168.40848, 51.16062, 9.80715, 9.80715, 0.00, 1.00, 1.00
7400, 7400, 168.40848, 50.99668, 9.80715, 9.80715, 0.00, 1.00, 1.00
7401, 7401, 168.01776, 50.99668, 10.60907, 10.60907, 0.00, 1.00, 1.00
7402, 7402, 168.01776, 50.99668, 10.60907, 10.60907, 0.00, 1.00, 1.00
7403, 7403, 167.28967, 50.99668, 10.25434, 10.25434, 0.00, 1.00, 1.00
7404, 7404, 167.28967, 50.99668, 10.25434, 10.25434, 0.00, 1.00, 1.00
7405, 7405, 167.68039, 50.99668, 9.45241, 9.45241, 0.00, 1.00, 1.00
7406, 7406, 167.68039, 50.99668, 9.45241, 9.45241, 0.00, 1.00, 1.00
7407, 7407, 168.40848, 50.99668, 9.80715, 9.80715, 0.00, 1.00, 1.00
7408, 7408, 168.40848, 51.16062, 9.80715, 9.80715, 0.00, 1.00, 1.00
7409, 7409, 168.40848, 50.99668, 9.80715, 9.80715, 0.00, 1.00, 1.00
7410, 7410, 168.01776, 51.16062, 10.60907, 10.60907, 0.00, 1.00, 1.00
7411, 7411, 168.01776, 50.99668, 10.60907, 10.60907, 0.00, 1.00, 1.00
